,recall@20,ndcg@20,recall@40,ndcg@40,,,,,
Original Model,0.1004,0.0863,0.1585,0.1075,,,,,
,,,,,,,,,
 CrossLayer_weight=,recall@20,ndcg@20,recall@40,ndcg@40,,Improvement,,,
0.05,0.1001,0.0862,0.1598,0.108,,-0.25%,-0.08%,0.78%,0.45%
0.1,0.1005,0.0869,0.1593,0.1082,,0.12%,0.67%,0.47%,0.64%
0.2,0.1005,0.0864,0.1594,0.1078,,0.08%,0.09%,0.54%,0.23%
0.3,0.0998,0.0857,0.1582,0.1069,,-0.60%,-0.64%,-0.20%,-0.57%
0.5,0.0984,0.0842,0.1571,0.1054,,-2.02%,-2.45%,-0.92%,-1.94%
,,,,,,,,,
 Denoise_beta=,recall@20,ndcg@20,recall@40,ndcg@40,,Improvement,,,
0.02,0.1009,0.0871,0.1595,0.1086,,0.52%,0.94%,0.58%,0.98%
0.05,0.1019,0.0881,0.1626,0.1102,,1.48%,2.16%,2.57%,2.51%
0.1,0.1004,0.0864,0.1595,0.108,,-0.01%,0.10%,0.62%,0.47%
0.2,0.1015,0.0872,0.1614,0.1089,,1.09%,1.02%,1.79%,1.33%
,,,,,,,,,
 Embed_noise_eps=,recall@20,ndcg@20,recall@40,ndcg@40,,Improvement,,,
0.01,0.0991,0.0855,0.1573,0.1067,,-1.23%,-0.87%,-0.76%,-0.71%
0.025,0.1001,0.0863,0.1603,0.1081,,-0.27%,0.00%,1.13%,0.60%
0.05,0.0984,0.0846,0.1569,0.1059,,-1.98%,-1.94%,-1.01%,-1.45%
0.1,0.0997,0.086,0.1599,0.1078,,-0.70%,-0.30%,0.82%,0.28%
,,,,,,,,,
,,,,,,,,,
Dataset: Yelp,recall@20,ndcg@20,recall@40,ndcg@40,,,,,
LightGCL,0.1004,0.0863,0.1585,0.1075,,,,,
Project Model,0.1015,0.0873,0.1613,0.1091,,,,,
Improvement,1.06%,1.19%,1.77%,1.53%,,,,,
,,,,,,,,,
Dataset: Gowalla,recall@20,ndcg@20,recall@40,ndcg@40,,,,,
LightGCL,0.2086,0.1218,0.2964,0.1446,,,,,
Project Model,0.2223,0.1324,0.3083,0.1549,,,,,
Improvement,6.56%,8.74%,4.02%,7.11%,,,,,
,,,,,,,,,
Dataset: tmall,recall@20,ndcg@20,recall@40,ndcg@40,,,,,
LightGCL,0.0843,0.0602,0.1295,0.0759,,,,,
Project Model,0.0863,0.0615,0.1322,0.0774,,,,,
Improvement,2.38%,2.24%,2.15%,2.07%,,,,,
